datetime,q_kfz_mq_hr,v_kfz_mq_hr,"Feinstaub (PM2,5)",LUFTTEMPERATUR,REL_FEUCHTE,NIEDERSCHLAGSHOEHE,WINDGESCHWINDIGKEIT,SONNENSCHEINDAUER,mean_q,min_q,max_q,std_q,skew_q,kurt_q,mean_v,min_v,max_v,std_v,skew_v,kurt_v,q_kfz_lag1,q_kfz_lag2,q_kfz_lag3,q_kfz_lag6,q_kfz_lag12,q_kfz_lag24,v_kfz_lag1,v_kfz_lag2,v_kfz_lag3,v_kfz_lag6,v_kfz_lag12,v_kfz_lag24,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,winddir_cos,winddir_sin
2021-12-08 11:00:00,1028.1442680776017,54.781011169900054,28.0,0.8,78.0,0.0,13.5,0.0,685.3882352941176,35.0,1554.0,322.1525455163534,0.008794078518049718,-0.38265084747442435,43.476470588235294,18.0,92.0,10.548957682141076,0.8653560250032742,4.1777218349738074,,,,,,,,,,,,,0.13616664909624665,-0.9906859460363308,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.6427876096865394,0.766044443118978
2021-12-08 12:00:00,1034.9124741200826,54.666821946169776,28.0,1.1,77.0,0.0,13.0,2.0,694.2764705882353,32.0,1573.0,335.2417480276071,0.02405794757355307,-0.3368793262484986,42.27058823529412,14.0,92.0,10.451792106228167,0.6186822682223366,3.7458027539088676,1028.1442680776017,,,,,,54.781011169900054,,,,,,-0.1361666490962464,-0.9906859460363308,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.6427876096865394,0.766044443118978
2021-12-08 13:00:00,1069.592341146985,54.70104673448327,29.0,1.5,75.0,0.0,11.4,0.0,719.9832402234637,25.0,1678.0,360.97669436521136,0.0879123137230479,-0.2533385767995049,42.89385474860335,18.0,91.0,10.259274576339015,0.828345226475819,3.592804476130955,1034.9124741200826,1028.1442680776017,,,,,54.666821946169776,54.781011169900054,,,,,-0.3984010898462412,-0.9172113015054532,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.6427876096865394,0.766044443118978
2021-12-08 14:00:00,1124.1412846758642,53.46077733273995,28.0,1.4,77.0,0.0,11.5,0.0,762.6724137931035,32.0,1681.0,381.26831484549393,0.0018033642073066137,-0.46685958394817284,42.32183908045977,8.0,91.0,11.152639598258222,0.7769296401188281,3.6469267044845908,1069.592341146985,1034.9124741200826,1028.1442680776017,,,,54.70104673448327,54.666821946169776,54.781011169900054,,,,-0.6310879443260528,-0.7757112907044198,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.4999999999999998,0.8660254037844387
2021-12-08 15:00:00,1101.6336787184011,53.71758524397414,27.0,1.0,78.0,0.0,10.7,0.0,802.6136363636364,37.0,1816.0,390.4089703834225,-0.03135773206229619,-0.4780339527934103,40.89204545454545,14.0,92.0,11.607620369798047,0.5896683189458095,2.848809884625433,1124.1412846758642,1069.592341146985,1034.9124741200826,,,,53.46077733273995,54.70104673448327,54.666821946169776,,,,-0.816969893010442,-0.5766803221148672,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.4999999999999998,0.8660254037844387
2021-12-08 16:00:00,1128.0,64.0,27.0,0.9,78.0,0.0,10.8,0.0,777.9329608938548,27.0,1813.0,384.21507024010765,0.0036316963225723605,-0.3985168932511369,41.07821229050279,8.0,93.0,11.817171144770303,0.47912737228002616,2.6971565988152495,1101.6336787184011,1124.1412846758642,1069.592341146985,,,,53.71758524397414,53.46077733273995,54.70104673448327,,,,-0.9422609221188204,-0.3348796121709864,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.4999999999999998,0.8660254037844387
2021-12-08 17:00:00,1010.0,67.0,27.0,0.6,79.0,0.0,12.0,0.0,730.0110497237569,29.0,1644.0,371.030157339,0.06168149771397615,-0.41724394662412134,43.248618784530386,7.0,92.0,11.443050330197057,0.6633011369925884,3.27260673245106,1128.0,1101.6336787184011,1124.1412846758642,1028.1442680776017,,,64.0,53.71758524397414,53.46077733273995,54.781011169900054,,,-0.9976687691905392,-0.06824241336467135,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.4999999999999998,0.8660254037844387
2021-12-08 18:00:00,836.0,44.0,27.0,0.3,79.0,0.0,12.0,0.0,656.4153005464481,21.0,1571.0,337.10201962126956,0.14157994148278355,-0.3425224703842127,43.939890710382514,8.0,92.0,10.748968465155771,0.37522831782720184,2.9968324152638695,1010.0,1128.0,1101.6336787184011,1034.9124741200826,,,67.0,64.0,53.71758524397414,54.666821946169776,,,-0.979084087682323,0.2034560130526333,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.3420201433256687,0.9396926207859084
2021-12-08 19:00:00,657.0,45.0,28.0,0.2,79.0,0.0,11.4,0.0,516.4494382022472,22.0,1462.0,285.9154002028029,0.38859510312304696,0.04013324838453869,45.859550561797754,16.0,92.0,10.313035129493878,0.4251032630509889,2.390771827634578,836.0,1010.0,1128.0,1069.592341146985,,,44.0,67.0,64.0,54.70104673448327,,,-0.8878852184023756,0.4600650377311516,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.3420201433256687,0.9396926207859084
2021-12-08 20:00:00,550.75,57.0,28.0,0.1,79.0,0.0,9.8,0.0,407.94350282485874,20.0,1199.0,231.2522412057027,0.6098493313121814,0.3861454352901075,46.92090395480226,14.0,95.0,10.515922087959817,0.2799420424872715,2.0471153369113697,657.0,836.0,1010.0,1124.1412846758642,,,45.0,44.0,67.0,53.46077733273995,,,-0.7308359642781246,0.6825531432186536,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.4999999999999998,0.8660254037844387
